Job Title,Years of Experience,Department,Salary Range,Work Location,Training Hours,Satisfaction Score,Last Evaluation Score,Average Monthly Hours,Attrition
Assistant,25,Sales,High,Office,17,1,8,148,0
Consultant,29,Customer Support,Medium,Office,68,10,0,178,0
Executive,6,Sales,High,Office,47,4,7,298,0
Consultant,3,Marketing,Medium,Remote,8,1,0,282,0
Consultant,28,Customer Support,High,Remote,53,5,2,249,0
Director,23,Marketing,Medium,Remote,34,5,5,270,0
Executive,19,Customer Support,High,Office,45,5,10,149,0
Executive,6,Engineering,Low,Office,0,10,7,183,0
Executive,3,Engineering,Medium,Office,40,2,6,223,0
Consultant,28,Engineering,Medium,Office,72,10,2,118,0
Assistant,11,Engineering,Low,Remote,31,2,5,190,0
Executive,4,Engineering,Low,Office,83,9,0,171,0
Consultant,22,Marketing,Medium,Remote,76,6,7,245,1
Director,28,Engineering,High,Office,39,3,8,109,0
Assistant,29,Marketing,Medium,Office,10,5,8,149,0
Director,29,Engineering,High,Remote,61,7,3,148,0
Assistant,28,Sales,Low,Remote,45,2,3,268,0
Consultant,25,Engineering,High,Remote,47,8,6,198,0
Manager,18,Sales,Medium,Remote,42,8,6,242,0
Assistant,25,Marketing,Low,Office,50,2,10,219,0
Director,4,Engineering,Low,Remote,60,5,5,122,0
Consultant,26,Customer Support,Medium,Remote,41,4,6,175,0
Assistant,29,Marketing,Medium,Office,25,3,0,212,0
Manager,18,Engineering,Low,Office,10,7,8,126,0
Manager,20,Marketing,High,Office,24,9,5,105,0
Executive,29,Customer Support,High,Office,39,8,7,123,0
Executive,2,Engineering,High,Remote,24,8,4,185,0
Director,26,Customer Support,Medium,Remote,83,4,6,236,1
Assistant,25,Engineering,Low,Office,74,4,2,289,1
Assistant,10,Sales,High,Remote,73,10,9,166,0
Executive,6,Marketing,Low,Remote,51,2,0,169,0
Assistant,28,Customer Support,High,Office,2,8,6,177,0
Assistant,16,Marketing,Low,Remote,38,0,4,141,0
Manager,24,Customer Support,Medium,Remote,90,2,0,159,0
Executive,8,Marketing,Medium,Office,34,6,8,182,0
Consultant,20,Marketing,Medium,Remote,39,6,8,275,0
Executive,8,Marketing,High,Remote,94,4,5,283,1
Consultant,9,Sales,Medium,Office,84,5,10,186,0
Manager,12,Engineering,Medium,Remote,21,3,8,232,0
Director,14,Sales,Medium,Office,61,7,6,207,0
Assistant,21,Marketing,Low,Office,18,3,7,281,0
Manager,30,Customer Support,Low,Office,13,9,10,265,1
Assistant,4,Marketing,Low,Office,100,5,1,246,0
Director,28,Engineering,Low,Office,49,4,1,296,1
Director,2,Sales,Low,Office,61,9,3,300,0
Manager,26,Engineering,Low,Remote,86,5,0,170,0
Director,26,Customer Support,Low,Office,89,2,7,123,0
Consultant,7,Engineering,Medium,Remote,42,2,4,204,0
Director,19,Sales,Medium,Office,54,9,6,179,0
Assistant,9,Customer Support,High,Office,39,6,1,237,0
Assistant,12,Engineering,Medium,Office,11,0,4,248,0
Assistant,30,Sales,Low,Remote,64,0,8,242,0
Assistant,28,Sales,Low,Remote,33,0,8,163,0
Consultant,2,Marketing,High,Office,82,5,1,240,0
Executive,28,Engineering,Medium,Remote,22,3,10,170,0
Manager,21,Customer Support,Medium,Office,70,5,1,267,0
Assistant,7,Marketing,High,Office,6,0,4,235,0
Director,28,Engineering,Low,Remote,64,3,2,204,0
Assistant,30,Engineering,Low,Office,17,3,0,265,0
Director,8,Customer Support,Low,Office,7,1,10,151,0
Director,29,Marketing,Low,Remote,88,0,0,101,0
Assistant,21,Marketing,High,Office,41,7,4,249,0
Consultant,20,Customer Support,Medium,Office,92,5,2,218,0
Director,11,Marketing,Low,Remote,86,3,8,217,0
Director,10,Sales,Medium,Remote,92,1,2,103,0
Assistant,1,Customer Support,Medium,Office,0,4,2,151,0
Director,17,Engineering,Low,Office,78,8,2,210,0
Director,8,Customer Support,Low,Remote,14,6,0,106,0
Assistant,1,Sales,Low,Remote,27,3,2,100,0
Assistant,1,Customer Support,Medium,Office,35,4,4,182,0
Manager,2,Engineering,High,Remote,95,7,7,285,1
Consultant,15,Engineering,Low,Remote,45,10,6,289,1
Consultant,18,Customer Support,Medium,Remote,76,4,10,193,0
Director,3,Customer Support,Medium,Office,20,5,3,213,0
Consultant,22,Sales,Low,Office,48,9,3,293,1
Director,24,Sales,High,Office,38,5,3,154,0
Manager,17,Engineering,Low,Office,37,7,7,216,0
Assistant,19,Marketing,Low,Office,8,10,7,112,0
Assistant,24,Marketing,High,Remote,19,4,1,127,0
Assistant,29,Marketing,Low,Remote,83,0,6,113,0
Consultant,17,Marketing,Low,Remote,7,3,10,230,0
Manager,9,Engineering,High,Office,13,2,4,115,0
Consultant,10,Marketing,Medium,Office,61,1,1,188,0
Consultant,28,Marketing,Medium,Remote,83,6,2,273,1
Manager,16,Customer Support,Medium,Remote,34,6,10,210,0
Manager,25,Marketing,Medium,Remote,54,7,6,220,0
Manager,23,Customer Support,Medium,Remote,44,9,5,230,0
Manager,24,Engineering,Low,Office,20,4,5,197,0
Assistant,22,Customer Support,High,Office,52,0,6,230,0
Executive,23,Sales,Medium,Remote,53,5,5,268,0
Executive,19,Customer Support,High,Office,85,5,10,256,1
Manager,15,Marketing,Medium,Office,42,10,1,267,0
Executive,19,Customer Support,Low,Office,5,7,7,118,0
Executive,12,Customer Support,Medium,Office,54,9,6,247,0
Manager,1,Engineering,Medium,Remote,43,1,5,120,0
Executive,23,Engineering,High,Remote,90,10,4,247,1
Consultant,30,Marketing,High,Office,67,8,10,191,0
Director,26,Sales,Low,Remote,3,10,5,146,0
Director,1,Sales,High,Office,62,5,2,190,0
Manager,24,Customer Support,High,Remote,91,0,1,143,0
Assistant,13,Sales,High,Remote,90,8,8,213,0
Manager,3,Engineering,Low,Remote,57,7,0,188,0
Assistant,16,Marketing,Low,Remote,53,9,1,101,0
Director,12,Marketing,Low,Remote,80,0,10,270,0
Manager,3,Engineering,High,Remote,37,7,9,284,0
Consultant,2,Marketing,High,Remote,59,6,9,187,0
Executive,11,Customer Support,Low,Office,51,4,0,246,0
Assistant,21,Marketing,High,Remote,28,5,7,189,0
Executive,22,Sales,High,Office,39,3,3,291,0
Executive,7,Marketing,Medium,Remote,70,8,5,273,0
Manager,1,Marketing,Low,Remote,7,8,10,268,0
Executive,5,Engineering,Low,Remote,96,9,4,166,0
Consultant,30,Engineering,High,Office,95,0,7,190,0
Executive,21,Sales,High,Office,34,8,9,113,0
Manager,9,Engineering,Medium,Office,81,2,6,247,0
Consultant,11,Sales,Low,Office,15,1,0,134,0
Director,20,Customer Support,Low,Office,17,3,7,252,0
Executive,9,Sales,High,Remote,58,3,3,227,0
Manager,9,Marketing,Low,Office,88,8,6,231,0
Director,22,Sales,High,Office,33,3,2,156,0
Director,2,Customer Support,Medium,Office,3,4,1,101,0
Assistant,19,Marketing,High,Remote,68,5,0,165,0
Consultant,9,Sales,Medium,Remote,77,3,9,188,0
Executive,28,Engineering,High,Remote,64,0,4,210,0
Manager,8,Engineering,Medium,Office,60,1,10,186,0
Assistant,19,Engineering,Medium,Remote,85,2,2,248,0
Consultant,18,Sales,Low,Office,45,3,10,188,0
Assistant,13,Sales,High,Remote,20,4,2,190,0
Consultant,1,Customer Support,Low,Remote,76,9,7,151,0
Consultant,4,Marketing,Low,Remote,99,9,0,217,0
Executive,19,Marketing,High,Remote,92,2,1,242,0
Consultant,28,Marketing,Low,Remote,37,10,0,273,1
Assistant,28,Marketing,Low,Office,72,0,6,214,0
Consultant,7,Sales,Low,Office,96,10,3,130,0
Executive,6,Sales,High,Remote,85,10,2,161,0
Executive,5,Customer Support,Low,Office,80,7,2,133,0
Assistant,10,Marketing,Low,Remote,59,7,9,135,0
Director,11,Sales,Low,Remote,86,3,10,220,0
Director,17,Sales,High,Remote,35,6,2,203,0
Consultant,18,Sales,Medium,Remote,5,3,1,143,0
